YAL001C	YAL001C	3573	3573	3573	3573	0	3573	0	0	100.000	100.00	1	3573	1	3573	0.0	6599	3573
YAL002W	YAL002W	3825	3825	3825	3825	0	3825	0	0	100.000	100.00	1	3825	1	3825	0.0	7064	3825
YAL003W	YAL003W	987	987	987	987	0	987	0	0	100.000	100.00	1	987	1	987	0.0	1823	987
YAL004W	YAL005C	648	1929	648	648	0	648	0	0	100.000	100.00	1	648	672	25	0.0	1197	648
YAL004W	YAL004W	648	648	648	648	0	648	0	0	100.000	100.00	1	648	1	648	0.0	1197	648
YAL004W	YLL024C	648	1920	648	622	26	622	0	0	95.988	95.99	1	648	672	25	0.0	1053	570
YAL005C	YAL005C	1929	1929	1929	1929	0	1929	0	0	100.000	100.00	1	1929	1	1929	0.0	3563	1929
YAL005C	YLL024C	1929	1920	1931	1862	56	1862	6	13	96.427	96.43	1	1929	1	1920	0.0	3171	1717
YAL005C	YAL004W	1929	648	648	648	0	648	0	0	100.000	100.00	25	672	648	1	0.0	1197	648
YAL005C	YNL209W	1929	1842	1203	927	238	927	33	38	77.057	77.06	10	1190	25	1211	0.0	658	356
YAL005C	YDL229W	1929	1842	1591	1187	350	1187	48	54	74.607	74.61	10	1570	25	1591	0.0	651	352
YAL007C	YAL007C	648	648	648	648	0	648	0	0	100.000	100.00	1	648	1	648	0.0	1197	648
YAL008W	YAL008W	597	597	597	597	0	597	0	0	100.000	100.00	1	597	1	597	0.0	1103	597
YAL009W	YAL009W	780	780	780	780	0	780	0	0	100.000	100.00	1	780	1	780	0.0	1441	780
YAL010C	YAL010C	1482	1482	1482	1482	0	1482	0	0	100.000	100.00	1	1482	1	1482	0.0	2737	1482
YAL011W	YAL011W	1878	1878	1878	1878	0	1878	0	0	100.000	100.00	1	1878	1	1878	0.0	3469	1878
YAL012W	YAL012W	1185	1185	1185	1185	0	1185	0	0	100.000	100.00	1	1185	1	1185	0.0	2189	1185
YAL013W	YAL013W	1218	1218	1218	1218	0	1218	0	0	100.000	100.00	1	1218	1	1218	0.0	2250	1218
YAL014C	YAL014C	768	768	768	768	0	768	0	0	100.000	100.00	1	768	1	768	0.0	1419	768
YAL015C	YAL015C	1200	1200	1200	1200	0	1200	0	0	100.000	100.00	1	1200	1	1200	0.0	2217	1200
YAL016C-A	YAL016C-A	315	315	315	315	0	315	0	0	100.000	100.00	1	315	1	315	9.51e-167	582	315
YAL016C-A	YAL016W	315	1908	191	191	0	191	0	0	100.000	100.00	1	191	191	1	8.12e-98	353	191
YAL016C-B	YAL016C-B	186	186	186	186	0	186	0	0	100.000	100.00	1	186	1	186	2.75e-95	344	186
YAL016W	YAL016W	1908	1908	1908	1908	0	1908	0	0	100.000	100.00	1	1908	1	1908	0.0	3524	1908
YAL016W	YAL016C-A	1908	315	191	191	0	191	0	0	100.000	100.00	1	191	191	1	5.21e-97	353	191
YAL017W	YAL017W	4071	4071	4071	4071	0	4071	0	0	100.000	100.00	1	4071	1	4071	0.0	7518	4071
YAL017W	YOL045W	4071	3306	716	548	162	548	6	6	76.536	76.54	3294	4006	2529	3241	1.10e-106	387	209
YAL018C	YAL018C	978	978	978	978	0	978	0	0	100.000	100.00	1	978	1	978	0.0	1807	978
YAL019W	YAL019W	3396	3396	3396	3396	0	3396	0	0	100.000	100.00	1	3396	1	3396	0.0	6272	3396
YAL019W-A	YAL019W-A	570	570	570	570	0	570	0	0	100.000	100.00	1	570	1	570	0.0	1053	570
YAL019W-A	YAL020C	570	1002	366	366	0	366	0	0	100.000	100.00	1	366	366	1	0.0	676	366
YAL020C	YAL020C	1002	1002	1002	1002	0	1002	0	0	100.000	100.00	1	1002	1	1002	0.0	1851	1002
YAL020C	YAL019W-A	1002	570	366	366	0	366	0	0	100.000	100.00	1	366	366	1	0.0	676	366
YAL021C	YAL021C	2514	2514	2514	2514	0	2514	0	0	100.000	100.00	1	2514	1	2514	0.0	4643	2514
YAL022C	YAL022C	1554	1554	1554	1554	0	1554	0	0	100.000	100.00	1	1554	1	1554	0.0	2870	1554
YAL023C	YAL023C	2280	2280	2280	2280	0	2280	0	0	100.000	100.00	1	2280	1	2280	0.0	4211	2280
YAL024C	YAL024C	4308	4308	4308	4308	0	4308	0	0	100.000	100.00	1	4308	1	4308	0.0	7956	4308
YAL025C	YAL025C	921	921	921	921	0	921	0	0	100.000	100.00	1	921	1	921	0.0	1701	921
YAL026C	YAL026C	4068	4068	4068	4068	0	4068	0	0	100.000	100.00	1	4068	1	4068	0.0	7513	4068
YAL026C	YAL026C-A	4068	438	194	194	0	194	0	0	100.000	100.00	3875	4068	1	194	2.40e-98	359	194
YAL026C-A	YAL026C-A	438	438	438	438	0	438	0	0	100.000	100.00	1	438	1	438	0.0	809	438
